anime_id,title,title_english,title_japanese,anime_type,episodes,status,aired_from,aired_to,score,scored_by,rank,popularity_rank,members,favorites,source,rating,season,season_year,duration,studios,producers,genres,extracted_at
1,Cowboy Bebop,Cowboy Bebop,カウボーイビバップ,TV,26.0,Finished Airing,1998-04-03T00:00:00+00:00,1999-04-24T00:00:00+00:00,8.75,1047481,48,42,2028309,88676,Original,R - 17+ (violence & profanity),spring,1998.0,24 min per ep,Sunrise,Bandai Visual|Victor Entertainment|Audio Planning U,Action|Award Winning|Sci-Fi,2026-01-25T21:28:08.016650
5,Cowboy Bebop: Tengoku no Tobira,Cowboy Bebop: The Movie,カウボーイビバップ 天国の扉,Movie,1.0,Finished Airing,2001-09-01T00:00:00+00:00,,8.38,229810,241,654,406983,1762,Original,R - 17+ (violence & profanity),,,1 hr 55 min,Bones,Sunrise|Bandai Visual,Action|Sci-Fi,2026-01-25T21:28:08.888233
6,Trigun,Trigun,トライガン,TV,26.0,Finished Airing,1998-04-01T00:00:00+00:00,1998-09-30T00:00:00+00:00,8.22,397143,399,264,823328,17398,Manga,PG-13 - Teens 13 or older,spring,1998.0,24 min per ep,Madhouse,Victor Entertainment|Arts Pro,Action|Adventure|Sci-Fi,2026-01-25T21:28:10.120153
7,Witch Hunter Robin,Witch Hunter Robin,Witch Hunter ROBIN (ウイッチハンターロビン),TV,26.0,Finished Airing,2002-07-03T00:00:00+00:00,2002-12-25T00:00:00+00:00,7.23,46050,3374,1985,127274,694,Original,PG-13 - Teens 13 or older,summer,2002.0,25 min per ep,Sunrise,Bandai Visual|Dentsu|Victor Entertainment,Action|Drama|Mystery|Supernatural,2026-01-25T21:28:11.347439
8,Bouken Ou Beet,Beet the Vandel Buster,冒険王ビィト,TV,52.0,Finished Airing,2004-09-30T00:00:00+00:00,2005-09-29T00:00:00+00:00,6.92,7011,4944,5833,16557,18,Manga,PG - Children,fall,2004.0,23 min per ep,Toei Animation,TV Tokyo|Dentsu,Action|Adventure|Fantasy,2026-01-25T21:28:12.567882
15,Eyeshield 21,,アイシールド21,TV,145.0,Finished Airing,2005-04-06T00:00:00+00:00,2008-03-19T00:00:00+00:00,7.91,93018,856,1400,194574,2110,Manga,PG-13 - Teens 13 or older,spring,2005.0,23 min per ep,Gallop,TV Tokyo|Nihon Ad Systems|TV Tokyo Music|Shueisha,Sports,2026-01-25T21:28:21.682467
16,Hachimitsu to Clover,Honey and Clover,ハチミツとクローバー,TV,24.0,Finished Airing,2005-04-15T00:00:00+00:00,2005-09-27T00:00:00+00:00,7.98,86589,753,972,283162,4190,Manga,PG-13 - Teens 13 or older,spring,2005.0,23 min per ep,J.C.Staff,Dentsu|Genco|Fuji TV|Asmik Ace|Shueisha,Comedy|Drama|Romance,2026-01-25T21:28:22.427628
17,Hungry Heart: Wild Striker,,ハングリーハート Wild Striker,TV,52.0,Finished Airing,2002-09-11T00:00:00+00:00,2003-09-10T00:00:00+00:00,7.54,14095,1931,4832,26630,243,Manga,PG-13 - Teens 13 or older,fall,2002.0,23 min per ep,Nippon Animation,,Sports,2026-01-25T21:28:23.678297
18,Initial D Fourth Stage,,頭文字〈イニシャル〉D FOURTH STAGE,TV,24.0,Finished Airing,2004-04-17T00:00:00+00:00,2006-02-18T00:00:00+00:00,8.17,117519,472,1300,211408,1418,Manga,PG-13 - Teens 13 or older,spring,2004.0,27 min per ep,A.C.G.T.,OB Planning,Action|Drama,2026-01-25T21:28:24.882645
19,Monster,Monster,モンスター,TV,74.0,Finished Airing,2004-04-07T00:00:00+00:00,2005-09-28T00:00:00+00:00,8.89,497794,25,120,1297015,60769,Manga,R+ - Mild Nudity,spring,2004.0,24 min per ep,Madhouse,VAP|Nippon Television Network|Arts Pro,Drama|Mystery|Suspense,2026-01-25T21:28:26.598621
20,Naruto,Naruto,ナルト,TV,220.0,Finished Airing,2002-10-03T00:00:00+00:00,2007-02-08T00:00:00+00:00,8.02,2115416,694,9,3075875,85416,Manga,PG-13 - Teens 13 or older,fall,2002.0,23 min per ep,Studio Pierrot,TV Tokyo|Aniplex,Action|Adventure|Fantasy,2026-01-25T21:28:27.329908
21,One Piece,One Piece,ONE PIECE,TV,,Currently Airing,1999-10-20T00:00:00+00:00,,8.73,1498839,52,17,2628509,247837,Manga,PG-13 - Teens 13 or older,fall,1999.0,24 min,Toei Animation,Fuji TV|TAP,Action|Adventure|Fantasy,2026-01-25T21:28:28.424941
22,Tennis no Oujisama,The Prince of Tennis,テニスの王子様,TV,178.0,Finished Airing,2001-10-10T00:00:00+00:00,2005-03-23T00:00:00+00:00,7.84,88157,1012,1391,196239,3064,Manga,PG-13 - Teens 13 or older,fall,2001.0,22 min per ep,Trans Arts,Production I.G|TV Tokyo|Nihon Ad Systems,Sports,2026-01-25T21:28:29.534339
23,Ring ni Kakero 1,,リングにかけろ１,TV,12.0,Finished Airing,2004-10-07T00:00:00+00:00,2004-12-16T00:00:00+00:00,6.36,1847,8329,9026,5596,3,Manga,PG - Children,fall,2004.0,23 min per ep,Toei Animation,,Sports,2026-01-25T21:28:30.767551
25,Sunabouzu,Desert Punk,砂ぼうず,TV,24.0,Finished Airing,2004-10-06T00:00:00+00:00,2005-03-30T00:00:00+00:00,7.36,57771,2661,1738,150212,873,Manga,R - 17+ (violence & profanity),fall,2004.0,24 min per ep,Gonzo,GDH|Pony Canyon|CBC Television|Omnibus Promotion|RKB Mainichi Broadcasting Corporation|Hokkaido Broadcasting,Action|Adventure|Comedy|Sci-Fi|Ecchi,2026-01-25T21:28:31.974112
26,Texhnolyze,Texhnolyze,TEXHNOLYZE,TV,22.0,Finished Airing,2003-04-17T00:00:00+00:00,2003-09-25T00:00:00+00:00,7.75,62764,1229,970,283767,5608,Original,R+ - Mild Nudity,spring,2003.0,23 min per ep,Madhouse,Group TAC|Rondo Robe|Fuji TV|Pioneer LDC|Rakuonsha|Geneon Entertainment USA,Avant Garde|Drama|Mystery|Sci-Fi|Suspense,2026-01-25T21:28:33.173589
27,Trinity Blood,Trinity Blood,トリニティ・ブラッド,TV,24.0,Finished Airing,2005-04-29T00:00:00+00:00,2005-10-28T00:00:00+00:00,7.28,83588,3106,1383,197720,1406,Light novel,R - 17+ (violence & profanity),spring,2005.0,24 min per ep,Gonzo,,Action|Fantasy|Sci-Fi,2026-01-25T21:28:34.374054
28,Yakitate!! Japan,Yakitate!! Japan,焼きたて!! ジャぱん,TV,69.0,Finished Airing,2004-10-12T00:00:00+00:00,2006-03-14T00:00:00+00:00,7.91,43061,880,2277,104563,945,Manga,PG-13 - Teens 13 or older,fall,2004.0,24 min per ep,Sunrise,TV Tokyo|Aniplex|d-rights|Tohokushinsha Film Corporation|Atelier Musa,Comedy|Gourmet,2026-01-25T21:28:35.567187
29,Zipang,,ジパング,TV,26.0,Finished Airing,2004-10-08T00:00:00+00:00,2005-04-01T00:00:00+00:00,7.49,8508,2139,4954,25077,206,Manga,PG-13 - Teens 13 or older,fall,2004.0,24 min per ep,Studio Deen,Marvelous Entertainment|Animax|Pony Canyon|TBS,Action|Drama|Sci-Fi,2026-01-25T21:28:36.773594
30,Shinseiki Evangelion,Neon Genesis Evangelion,新世紀エヴァンゲリオン,TV,26.0,Finished Airing,1995-10-04T00:00:00+00:00,1996-03-27T00:00:00+00:00,8.37,1194450,246,45,1995636,115850,Original,PG-13 - Teens 13 or older,fall,1995.0,24 min per ep,Gainax|Tatsunoko Production,TV Tokyo|Kadokawa Shoten|Nihon Ad Systems|Audio Tanaka,Avant Garde|Award Winning|Drama|Sci-Fi|Suspense,2026-01-25T21:28:37.967410
33,Kenpuu Denki Berserk,Berserk,剣風伝奇ベルセルク,TV,25.0,Finished Airing,1997-10-08T00:00:00+00:00,1998-04-01T00:00:00+00:00,8.61,404849,103,301,751652,31159,Manga,R+ - Mild Nudity,fall,1997.0,23 min per ep,OLM,VAP|Hakusensha|Nippon Television Network,Action|Adventure|Drama|Fantasy|Horror,2026-01-25T21:28:39.251472
43,Koukaku Kidoutai,Ghost in the Shell,GHOST IN THE SHELL（攻殻機動隊）,Movie,1.0,Finished Airing,1995-11-18T00:00:00+00:00,,8.27,357399,338,341,693832,14126,Manga,R+ - Mild Nudity,,,1 hr 22 min,Production I.G,Bandai Visual|Kodansha|Aube,Award Winning|Mystery|Sci-Fi|Suspense,2026-01-25T21:28:48.231403
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Samurai X: Trust and Betrayal,るろうに剣心―明治剣客浪漫譚―追憶編,OVA,4.0,Finished Airing,1999-02-20T00:00:00+00:00,1999-09-22T00:00:00+00:00,8.69,143685,69,940,290793,6439,Manga,R - 17+ (violence & profanity),,,29 min per ep,Studio Deen,Aniplex,Action|Drama|Romance,2026-01-25T21:28:49.466863
47,Akira,Akira,AKIRA（アキラ）,Movie,1.0,Finished Airing,1988-07-16T00:00:00+00:00,,8.16,556863,485,209,942294,14811,Manga,R+ - Mild Nudity,,,2 hr 4 min,Tokyo Movie Shinsha,Mainichi Broadcasting System|Kodansha|Pioneer LDC|Bandai|TOHO|Sumitomo|Hakuhodo,Action|Horror|Sci-Fi,2026-01-25T21:28:50.665884
48,.hack//Sign,.hack//Sign,.hack//SIGN,TV,26.0,Finished Airing,2002-04-04T00:00:00+00:00,2002-09-26T00:00:00+00:00,6.94,87278,4873,1417,192793,1473,Original,PG-13 - Teens 13 or older,spring,2002.0,24 min per ep,Bee Train,Bandai Visual|Yomiko Advertising|Bandai|CyberConnect2,Adventure|Fantasy|Mystery,2026-01-25T21:28:51.883728
50,Aa! Megami-sama! (TV),Ah! My Goddess,ああっ女神さまっ,TV,24.0,Finished Airing,2005-01-07T00:00:00+00:00,2005-07-08T00:00:00+00:00,7.31,80199,2910,1606,168309,1167,Manga,PG-13 - Teens 13 or older,winter,2005.0,24 min per ep,AIC,Bandai Visual|TBS|Imagine,Comedy|Romance|Supernatural,2026-01-25T21:28:53.102588
52,Kidou Tenshi Angelic Layer,Battle Doll Angelic Layer,機動天使エンジェリックレイヤー,TV,26.0,Finished Airing,2001-04-01T00:00:00+00:00,2001-09-23T00:00:00+00:00,7.25,29986,3251,3133,62206,329,Manga,PG-13 - Teens 13 or older,spring,2001.0,24 min per ep,Bones,Dentsu|TV Tokyo Music,Award Winning|Comedy|Drama|Sci-Fi,2026-01-25T21:28:54.333400
53,Ai Yori Aoshi,Ai Yori Aoshi,藍より青し,TV,24.0,Finished Airing,2002-04-11T00:00:00+00:00,2002-09-26T00:00:00+00:00,7.1,55541,4096,2128,116278,474,Manga,PG-13 - Teens 13 or older,spring,2002.0,23 min per ep,J.C.Staff,Movic|Fuji TV|Pioneer LDC|Cosmic Ray,Comedy|Drama|Romance,2026-01-25T21:28:55.558750
